Бренд;ID КАТ;Артикул;Название;Категория;Подкатегория;Цена;Старая цена;Тег;Фото;Описание
MALECULA;cat_1786698823066_bj1j_sub_Краска-корректор;;Blue Крем-краска Корректор MALECULA Синий, 100 мл;Окрашивание;Краска-корректор;24.30 BYN;;;https://i.ibb.co/p7YgvT8/images.jpg;
MALECULA;cat_1786698823066_bj1j_sub_Краска-корректор;;Booster13 Крем-краска Корректор MALECULA Усилитель, 100 мл;Окрашивание;Краска-корректор;24.30 BYN;;;https://i.ibb.co/p7YgvT8/images.jpg;
MALECULA;cat_1786698823066_bj1j_sub_Краска-корректор;;Clear Крем-краска Корректор MALECULA Прозрачный, 100 мл;Окрашивание;Краска-корректор;24.30 BYN;;;https://i.ibb.co/p7YgvT8/images.jpg;
MALECULA;cat_1786698823066_bj1j_sub_Краска-корректор;;Orange Крем-краска Корректор MALECULA Оранжевый, 100 мл;Окрашивание;Краска-корректор;24.30 BYN;;;https://i.ibb.co/p7YgvT8/images.jpg;
MALECULA;cat_1786698823066_bj1j_sub_Краска-корректор;;Violet Крем-краска Корректор MALECULA Фиолетовый, 100 мл;Окрашивание;Краска-корректор;24.30 BYN;;;https://i.ibb.co/p7YgvT8/images.jpg;
MALECULA;cat_1786698823066_bj1j_sub_Краска-корректор;;Yellow Крем-краска Корректор MALECULA Желтый, 100 мл;Окрашивание;Краска-корректор;24.30 BYN;;;https://i.ibb.co/p7YgvT8/images.jpg;
MALECULA;cat_1786698823066_bj1j_sub_Крем-краска;;1.0 Крем-краска MALECULA Интенсивный Черный, 100 мл;Окрашивание;Крем-краска;24.30 BYN;;;https://i.ibb.co/p7YgvT8/images.jpg;
MALECULA;cat_1786698823066_bj1j_sub_Крем-краска;;10 Крем-краска MALECULA Натуральный Платиновый Блонд, 100 мл;Окрашивание;Крем-краска;24.30 BYN;;;https://i.ibb.co/p7YgvT8/images.jpg;
MALECULA;cat_1786698823066_bj1j_sub_Крем-краска;;10.0 Крем-краска MALECULA Интенсивный Натуральный Платиновый Блонд, 100 мл;Окрашивание;Крем-краска;24.30 BYN;;;https://i.ibb.co/p7YgvT8/images.jpg;
MALECULA;cat_1786698823066_bj1j_sub_Крем-краска;;10.016 Крем-краска MALECULA Платиновый блонд розовый перламутр, 100 мл;Окрашивание;Крем-краска;24.30 BYN;;;https://i.ibb.co/p7YgvT8/images.jpg;
MALECULA;cat_1786698823066_bj1j_sub_Крем-краска;;10.02 Крем-краска MALECULA Платиновый Фиолетовый Блонд, 100 мл;Окрашивание;Крем-краска;24.30 BYN;;;https://i.ibb.co/p7YgvT8/images.jpg;
MALECULA;cat_1786698823066_bj1j_sub_Крем-краска;;10.036 Крем-краска MALECULA Платиновый блонд розовое золото, 100 мл;Окрашивание;Крем-краска;24.30 BYN;;;https://i.ibb.co/p7YgvT8/images.jpg;
MALECULA;cat_1786698823066_bj1j_sub_Крем-краска;;10.1 Крем-краска MALECULA Пепельный Платиновый Блонд, 100 мл;Окрашивание;Крем-краска;24.30 BYN;;;https://i.ibb.co/p7YgvT8/images.jpg;
MALECULA;cat_1786698823066_bj1j_sub_Крем-краска;;10.102 Крем-краска MALECULA Платиновый Блонд Металлик Фиолетовый, 100 мл;Окрашивание;Крем-краска;24.30 BYN;;;https://i.ibb.co/p7YgvT8/images.jpg;
MALECULA;cat_1786698823066_bj1j_sub_Крем-краска;;10.13 Крем-краска MALECULA Платиновый блонд жемчужно-бежевый, 100 мл;Окрашивание;Крем-краска;24.30 BYN;;;https://i.ibb.co/p7YgvT8/images.jpg;
MALECULA;cat_1786698823066_bj1j_sub_Крем-краска;;10.21 Крем-краска MALECULA Платиновый пепельно-перламутровый блонд, 100 мл;Окрашивание;Крем-краска;24.30 BYN;;;https://i.ibb.co/p7YgvT8/images.jpg;
MALECULA;cat_1786698823066_bj1j_sub_Крем-краска;;10.3 Крем-краска MALECULA Платиново-золотой блондин, 100 мл;Окрашивание;Крем-краска;24.30 BYN;;;https://i.ibb.co/p7YgvT8/images.jpg;
MALECULA;cat_1786698823066_bj1j_sub_Крем-краска;;10.32 Крем-краска MALECULA Платиновый Бежевый Блонд, 100 мл;Окрашивание;Крем-краска;24.30 BYN;;;https://i.ibb.co/p7YgvT8/images.jpg;
MALECULA;cat_1786698823066_bj1j_sub_Крем-краска;;10.8 Крем-краска MALECULA Платиновый светло-розовый блонд, 100 мл;Окрашивание;Крем-краска;24.30 BYN;;;https://i.ibb.co/p7YgvT8/images.jpg;
MALECULA;cat_1786698823066_bj1j_sub_Крем-краска;;12.016 Крем-краска MALECULA Специальный блонд розовый перламутр, 100 мл;Окрашивание;Крем-краска;24.30 BYN;;;https://i.ibb.co/p7YgvT8/images.jpg;
