Бренд;ID КАТ;Артикул;Название;Категория;Подкатегория;Цена;Старая цена;Тег;Фото;Описание
HAIR SEKTA;all_sub_Биозавивка;HS068;BIO-Завивка HS068: Light - для всех типов волос, кроме трудноподдающихся, 500 мл;Биозавивка;;78.00 BYN;;;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTv7NFHyfMP3TmJo512Iporp8ZLVcU8Z33I7Cl6gy4cnw&s=13;"Специальный состав для создания естественного завитка, предназначенный для всех типов волос, кроме трудно поддающихся.
Действующий компонент - Цистеамин (Cysteamine HCL), который позволяет утверждать то, что BIO-ЗАВИВКА в сравнении с химической завивкой безопасна для волос. После BIO-завивки волосы становятся схожими по структуре с естественной структурой вьющихся волос, и меняются по структуре временно (от 3 до 12 месяцев), а не навсегда как в химической завивке. 
Обладает приятным, нерезким запахом.
Не содержит тиогликолят аммония.
Имеет значение рН, близкое к нейтральному, оказывая деликатное воздействие на волосы.
Aбсолютно безопасен для структуры и качества волос.
ВАЖНОЕ ПРИМЕЧАНИЕ: BIO-Завивка Light является полноценным готовым к использованию продуктом и НЕ ТРЕБУЕТ добавления воды (разбавления водой)."
MALECULA;cat_1786698823066_bj1j_sub_Краска-корректор;509;Blue Крем-краска Корректор MALECULA Синий, 100 мл;Окрашивание;Окрашивание;24.30 BYN;;;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTLR40rLYJF8mvvXfgs_tifxnp-hRwRyixgi_XqwYhWaQ&s=10;20
MALECULA;cat_1786698823066_bj1j_sub_Краска-корректор;515;Booster13 Крем-краска Корректор MALECULA Усилитель, 100 мл;Окрашивание;Окрашивание;24.30 BYN;;;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTLR40rLYJF8mvvXfgs_tifxnp-hRwRyixgi_XqwYhWaQ&s=11;21
MALECULA;cat_1786698823066_bj1j_sub_Краска-корректор;507;Clear Крем-краска Корректор MALECULA Прозрачный, 100 мл;Окрашивание;Окрашивание;24.30 BYN;;;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTLR40rLYJF8mvvXfgs_tifxnp-hRwRyixgi_XqwYhWaQ&s=12;22
MALECULA;cat_1786698823066_bj1j_sub_Краска-корректор;513;Orange Крем-краска Корректор MALECULA Оранжевый, 100 мл;Окрашивание;Окрашивание;24.30 BYN;;;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTLR40rLYJF8mvvXfgs_tifxnp-hRwRyixgi_XqwYhWaQ&s=13;23
MALECULA;cat_1786698823066_bj1j_sub_Краска-корректор;510;Yellow Крем-краска Корректор MALECULA Желтый, 100 мл;Окрашивание;Окрашивание;24.30 BYN;;;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTLR40rLYJF8mvvXfgs_tifxnp-hRwRyixgi_XqwYhWaQ&s=14;24
MALECULA;cat_1786698823066_bj1j_sub_Крем-краска;459;Крем-краска MALECULA Интенсивный Черный, 100 мл;Окрашивание;Окрашивание;24.30 BYN;;;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTR2D8YkIlME5uCysoDX8oVfLfxYDCkAKoGztSuNuG9XQ&s=10;77
MALECULA;cat_1786698823066_bj1j_sub_Крем-краска;473;Крем-краска MALECULA Натуральный Платиновый Блонд, 100 мл;Окрашивание;Окрашивание;24.30 BYN;;;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTR2D8YkIlME5uCysoDX8oVfLfxYDCkAKoGztSuNuG9XQ&s=11;78
MALECULA;cat_1786698823066_bj1j_sub_Крем-краска;474;Крем-краска MALECULA Интенсивный Натуральный Платиновый Блонд, 100 мл;Окрашивание;Окрашивание;24.30 BYN;;;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTR2D8YkIlME5uCysoDX8oVfLfxYDCkAKoGztSuNuG9XQ&s=12;79
MALECULA;cat_1786698823066_bj1j_sub_Крем-краска;482;Крем-краска MALECULA Платиновый блонд розовый перламутр, 100 мл;Окрашивание;Окрашивание;24.30 BYN;;;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTR2D8YkIlME5uCysoDX8oVfLfxYDCkAKoGztSuNuG9XQ&s=13;80
MALECULA;cat_1786698823066_bj1j_sub_Крем-краска;477;Крем-краска MALECULA Платиновый Фиолетовый Блонд, 100 мл;Окрашивание;Окрашивание;24.30 BYN;;;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTR2D8YkIlME5uCysoDX8oVfLfxYDCkAKoGztSuNuG9XQ&s=14;81
MALECULA;cat_1786698823066_bj1j_sub_Крем-краска;481;Крем-краска MALECULA Платиновый блонд розовое золото, 100 мл;Окрашивание;Окрашивание;24.30 BYN;;;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTR2D8YkIlME5uCysoDX8oVfLfxYDCkAKoGztSuNuG9XQ&s=15;82
MALECULA;cat_1786698823066_bj1j_sub_Крем-краска;475;Крем-краска MALECULA Пепельный Платиновый Блонд, 100 мл;Окрашивание;Окрашивание;24.30 BYN;;;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTR2D8YkIlME5uCysoDX8oVfLfxYDCkAKoGztSuNuG9XQ&s=16;83
MALECULA;cat_1786698823066_bj1j_sub_Крем-краска;478;Крем-краска MALECULA Платиновый Блонд Металлик Фиолетовый, 100 мл;Окрашивание;Окрашивание;24.30 BYN;;;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTR2D8YkIlME5uCysoDX8oVfLfxYDCkAKoGztSuNuG9XQ&s=17;84
MALECULA;cat_1786698823066_bj1j_sub_Крем-краска;490;Крем-краска MALECULA Платиновый блонд жемчужно-фиолетовый, 100 мл;Окрашивание;Окрашивание;24.30 BYN;;;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTR2D8YkIlME5uCysoDX8oVfLfxYDCkAKoGztSuNuG9XQ&s=18;85
MALECULA;cat_1786698823066_bj1j_sub_Крем-краска;480;Крем-краска MALECULA Платиново-золотой блондин, 100 мл;Окрашивание;Окрашивание;24.30 BYN;;;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTR2D8YkIlME5uCysoDX8oVfLfxYDCkAKoGztSuNuG9XQ&s=19;86
MALECULA;cat_1786698823066_bj1j_sub_Крем-краска;479;Крем-краска MALECULA Платиновый Бежевый Блонд, 100 мл;Окрашивание;Окрашивание;24.30 BYN;;;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTR2D8YkIlME5uCysoDX8oVfLfxYDCkAKoGztSuNuG9XQ&s=20;87
MALECULA;cat_1786698823066_bj1j_sub_Крем-краска;488;Крем-краска MALECULA Платиновый светло-розовый блонд, 100 мл;Окрашивание;Окрашивание;24.30 BYN;;;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTR2D8YkIlME5uCysoDX8oVfLfxYDCkAKoGztSuNuG9XQ&s=21;88
MALECULA;cat_1786698823066_bj1j_sub_Крем-краска;486;Крем-краска MALECULA Специальный блонд розовый перламутр, 100 мл;Окрашивание;Окрашивание;24.30 BYN;;;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTR2D8YkIlME5uCysoDX8oVfLfxYDCkAKoGztSuNuG9XQ&s=22;89
MALECULA;cat_1786698823066_bj1j_sub_Крем-краска;487;Крем-краска MALECULA Специальный фиолетовый блонд, 100 мл;Окрашивание;Окрашивание;24.30 BYN;;;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTR2D8YkIlME5uCysoDX8oVfLfxYDCkAKoGztSuNuG9XQ&s=23;90
MALECULA;cat_1786698823066_bj1j_sub_Крем-краска;483;Крем-краска MALECULA Специальный блонд интенсивный пепельный, 100 мл;Окрашивание;Окрашивание;24.30 BYN;;;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTR2D8YkIlME5uCysoDX8oVfLfxYDCkAKoGztSuNuG9XQ&s=24;91
MALECULA;cat_1786698823066_bj1j_sub_Крем-краска;485;Крем-краска MALECULA Специальный блонд металлик фиолетовый, 100 мл;Окрашивание;Окрашивание;24.30 BYN;;;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTR2D8YkIlME5uCysoDX8oVfLfxYDCkAKoGztSuNuG9XQ&s=25;92
