Бренд;ID категории;Название;Тип;Родитель
HAIR SEKTA;all_sub_Биозавивка;Биозавивка;Подкатегория;all
HAIR SEKTA;all_sub_Кондиционеры;Кондиционеры;Подкатегория;all
HAIR SEKTA;all_sub_Маски;Маски;Подкатегория;all
HAIR SEKTA;all_sub_Набор;Набор;Подкатегория;all
HAIR SEKTA;all_sub_Пудра,_окислители;Пудра, окислители;Подкатегория;all
HAIR SEKTA;all_sub_Реконструкция;Реконструкция;Подкатегория;all
HAIR SEKTA;all_sub_Смывка;Смывка;Подкатегория;all
HAIR SEKTA;all_sub_Спреи,_гели,_масло;Спреи, гели, масло;Подкатегория;all
HAIR SEKTA;all_sub_Шампуни;Шампуни;Подкатегория;all
IMPRESSION PROFESSIONAL;cat_1786698823066_tj8d;Окрашивание;Категория;
IMPRESSION PROFESSIONAL;cat_1786698823066_tj8d_sub_Гель_с_пигментами_прямого_действия_DIVERSA;Гель с пигментами прямого действия DIVERSA;Подкатегория;cat_1786698823066_tj8d
IMPRESSION PROFESSIONAL;cat_1786698823066_tj8d_sub_Деми-перманентная_краска_для_волос_ZERO.BLOND;Деми-перманентная краска для волос ZERO.BLOND;Подкатегория;cat_1786698823066_tj8d
IMPRESSION PROFESSIONAL;cat_1786698823066_tj8d_sub_Краска-корректор_для_волос;Краска-корректор для волос;Подкатегория;cat_1786698823066_tj8d
IMPRESSION PROFESSIONAL;cat_1786698823066_tj8d_sub_Крем-краска_для_волос;Крем-краска для волос;Подкатегория;cat_1786698823066_tj8d
IMPRESSION PROFESSIONAL;cat_1786698823066_tj8d_sub_Осветляющий_порошок;Осветляющий порошок;Подкатегория;cat_1786698823066_tj8d
IMPRESSION PROFESSIONAL;cat_1786698823066_tj8d_sub_Проявляющие_эмульсии;Проявляющие эмульсии;Подкатегория;cat_1786698823066_tj8d
IMPRESSION PROFESSIONAL;cat_1786698823066_tj8d_sub_Специальные_продукты;Специальные продукты;Подкатегория;cat_1786698823066_tj8d
IMPRESSION PROFESSIONAL;cat_1786698823066_dfkc;Стайлинг;Категория;
IMPRESSION PROFESSIONAL;cat_1786698823066_dfkc_sub_Лаки;Лаки;Подкатегория;cat_1786698823066_dfkc
IMPRESSION PROFESSIONAL;cat_1786698823066_dfkc_sub_Муссы;Муссы;Подкатегория;cat_1786698823066_dfkc
IMPRESSION PROFESSIONAL;cat_1786698823066_7ble;Уход за волосами;Категория;
IMPRESSION PROFESSIONAL;cat_1786698823066_7ble_sub_Бальзамы;Бальзамы;Подкатегория;cat_1786698823066_7ble
IMPRESSION PROFESSIONAL;cat_1786698823066_7ble_sub_Шампуни;Шампуни;Подкатегория;cat_1786698823066_7ble
IMPRESSION PROFESSIONAL;cat_1786698823066_7ble_sub_Маски;Маски;Подкатегория;cat_1786698823066_7ble
IMPRESSION PROFESSIONAL;cat_1786698823066_7ble_sub_Спреи;Спреи;Подкатегория;cat_1786698823066_7ble
IMPRESSION PROFESSIONAL;cat_1786698823066_w0iu;Уход за волосами линейки SETE;Категория;
IMPRESSION PROFESSIONAL;cat_1786698823066_w0iu_sub_CAREZZA_(серия_для_гладкости_и_блеска);CAREZZA (серия для гладкости и блеска);Подкатегория;cat_1786698823066_w0iu
IMPRESSION PROFESSIONAL;cat_1786698823066_w0iu_sub_DiCapilar_(трихология);DiCapilar (трихология);Подкатегория;cat_1786698823066_w0iu
IMPRESSION PROFESSIONAL;cat_1786698823066_w0iu_sub_GANNA_(серия_для_холодных_оттенков_блонд);GANNA (серия для холодных оттенков блонд);Подкатегория;cat_1786698823066_w0iu
IMPRESSION PROFESSIONAL;cat_1786698823066_w0iu_sub_GARDA_(серия_для_осв.,_обесцв._и_мелир._волос);GARDA (серия для осв., обесцв. и мелир. волос);Подкатегория;cat_1786698823066_w0iu
IMPRESSION PROFESSIONAL;cat_1786698823066_w0iu_sub_NEVES_(серия_для_кудрявых_и_вьющихся_волос);NEVES (серия для кудрявых и вьющихся волос);Подкатегория;cat_1786698823066_w0iu
IMPRESSION PROFESSIONAL;cat_1786698823066_w0iu_sub_TRINITA_(серия_для_объема_волос);TRINITA (серия для объема волос);Подкатегория;cat_1786698823066_w0iu
IMPRESSION PROFESSIONAL;cat_1786698823066_w0iu_sub_CALDARO_(серия_защиты_от_солнца);CALDARO (серия защиты от солнца);Подкатегория;cat_1786698823066_w0iu
IMPRESSION PROFESSIONAL;cat_1786698823066_7ip0;Аксессуары;Категория;
MALECULA;cat_1786698823066_bj1j;Окрашивание;Категория;
MALECULA;cat_1786698823066_bj1j_sub_Краска-корректор;Краска-корректор;Подкатегория;cat_1786698823066_bj1j
MALECULA;cat_1786698823066_bj1j_sub_Крем-краска;Крем-краска;Подкатегория;cat_1786698823066_bj1j
MALECULA;cat_1786698823066_bj1j_sub_Оксигенты;Оксигенты;Подкатегория;cat_1786698823066_bj1j
